# lag first_tap_timestamp C_re C_im Ex Eh saturation_events
-32 480554574504 2336046 -4126611 3740448 1073725951 0
-31 480554574505 3417364 214792 3719301 1073725951 0
-30 480554574506 4862785 4008659 3620488 1073725951 0
-29 480554574507 -4382571 -4540566 3572473 1073725951 0
-28 480554574508 2327124 -14349558 3577896 1073725951 0
-27 480554574509 7817107 1574962 3602571 1073725951 0
-26 480554574510 3671388 -5529831 3518832 1073725951 0
-25 480554574511 2070205 -13438929 3484020 1073725951 0
-24 480554574512 2562061 -7651659 3472625 1073725951 0
-23 480554574513 4661014 -3194678 3599106 1073725951 0
-22 480554574514 2943245 -1387713 3689415 1073725951 0
-21 480554574515 -1422475 -6365276 3671202 1073725951 0
-20 480554574516 5697566 -16639290 3734466 1073725951 0
-19 480554574517 9508416 -998511 3723007 1073725951 0
-18 480554574518 575338 -5062010 3721918 1073725951 0
-17 480554574519 -2677861 -18494852 3747673 1073725951 0
-16 480554574520 1533070 -3125014 3676525 1073725951 0
-15 480554574521 2950229 1241949 3643765 1073725951 0
-14 480554574522 4515045 -7122710 3631953 1073725951 0
-13 480554574523 4019289 -7894220 3606446 1073725951 0
-12 480554574524 3074933 -12420470 3598382 1073725951 0
-11 480554574525 2739192 407622 3613321 1073725951 0
-10 480554574526 -1372313 -1682626 3495496 1073725951 0
-9 480554574527 -3128041 -9849864 3546504 1073725951 0
-8 480554574528 12481386 -3992453 3490861 1073725951 0
-7 480554574529 5580976 -5838888 3658734 1073725951 0
-6 480554574530 -428185 -2758726 3613640 1073725951 0
-5 480554574531 6451290 1566763 3594152 1073725951 0
-4 480554574532 5923701 -7133623 3614360 1073725951 0
-3 480554574533 5038597 -2992987 3655533 1073725951 0
-2 480554574534 5706119 -8049629 3687017 1073725951 0
-1 480554574535 -1539791 -9418239 3663881 1073725951 0
0 480554574536 17620309 2144620 3707437 1073725951 0
1 480554574537 7569143 -6694007 3595316 1073725951 0
2 480554574538 3779888 -5176891 3614993 1073725951 0
3 480554574539 15340225 1393220 3557760 1073725951 0
4 480554574540 -2165017 -3864817 3638577 1073725951 0
5 480554574541 1687586 -2950192 3649182 1073725951 0
6 480554574542 -1040679 -6733162 3575749 1073725951 0
7 480554574543 -3541487 -7326236 3483139 1073725951 0
8 480554574544 14050154 1395111 3580173 1073725951 0
9 480554574545 -673407 -287340 3589329 1073725951 0
10 480554574546 -5948765 -1964476 3631382 1073725951 0
11 480554574547 8790769 5001848 3604054 1073725951 0
12 480554574548 1696891 -4879611 3656521 1073725951 0
13 480554574549 1308527 5074612 3650129 1073725951 0
14 480554574550 10072443 2240049 3646148 1073725951 0
15 480554574551 -8154455 -788541 3626312 1073725951 0
16 480554574552 12210431 3041918 3645797 1073725951 0
17 480554574553 3973214 -3682328 3630548 1073725951 0
18 480554574554 -687222 -3185856 3532988 1073725951 0
19 480554574555 13505552 2561642 3564828 1073725951 0
20 480554574556 708169 -6925079 3537488 1073725951 0
21 480554574557 557315 4700610 3456863 1073725951 0
22 480554574558 4010403 -3499690 3410791 1073725951 0
23 480554574559 -5742753 3790921 3413795 1073725951 0
24 480554574560 5721367 2397110 3481086 1073725951 0
25 480554574561 -4476793 -2803933 3521039 1073725951 0
26 480554574562 -3966155 4209295 3532400 1073725951 0
27 480554574563 11913191 5101571 3517523 1073725951 0
28 480554574564 -8787539 2025333 3532708 1073725951 0
29 480554574565 -1937547 4333550 3552107 1073725951 0
30 480554574566 2523964 -2039490 3447968 1073725951 0
31 480554574567 -4218513 7266686 3431513 1073725951 0
32 480554574568 9696515 3599865 3393638 1073725951 0
